Shift,Name,Start,Finish,Seconds,Begin,End,Type
23.03.06 - 1,Forklift 17,2023-03-06 07:00:00,2023-03-06 07:10:44,644.0,tool_storage,tool_storage,Stay
23.03.06 - 1,Forklift 17,2023-03-06 07:10:44,2023-03-06 07:12:47,123.0,tool_storage,shear_rolled_vane_cell,Move
23.03.06 - 1,Forklift 17,2023-03-06 07:12:47,2023-03-06 07:14:28,101.0,shear_rolled_vane_cell,shear_rolled_vane_cell,Stay
23.03.06 - 1,Forklift 17,2023-03-06 07:14:28,2023-03-06 07:16:11,103.0,shear_rolled_vane_cell,bldg_2_entry_area,Move
23.03.06 - 1,Forklift 17,2023-03-06 07:16:11,2023-03-06 07:17:22,71.0,bldg_2_entry_area,bldg_2_entry_area,Stay
23.03.06 - 1,Forklift 17,2023-03-06 07:17:22,2023-03-06 07:18:27,65.0,bldg_2_entry_area,sheet_metal,Move
23.03.06 - 1,Forklift 17,2023-03-06 07:18:27,2023-03-06 07:18:40,13.0,sheet_metal,sheet_metal,Stay
23.03.06 - 1,Forklift 17,2023-03-06 07:18:40,2023-03-06 07:19:42,62.0,sheet_metal,press_room,Move
23.03.06 - 1,Forklift 17,2023-03-06 07:19:42,2023-03-06 07:20:15,33.0,press_room,press_room,Stay
23.03.06 - 1,Forklift 17,2023-03-06 07:20:15,2023-03-06 07:20:43,28.0,press_room,tool_storage,Move
23.03.06 - 1,Forklift 17,2023-03-06 07:20:43,2023-03-06 07:25:04,261.0,tool_storage,tool_storage,Stay
23.03.06 - 1,Forklift 17,2023-03-06 07:25:04,2023-03-06 07:25:37,33.0,tool_storage,press_room,Move
23.03.06 - 1,Forklift 17,2023-03-06 07:25:37,2023-03-06 07:29:16,219.0,press_room,press_room,Stay
23.03.06 - 1,Forklift 17,2023-03-06 07:29:16,2023-03-06 07:30:07,51.0,press_room,tool_storage,Move
23.03.06 - 1,Forklift 17,2023-03-06 07:30:07,2023-03-06 08:22:31,3144.0,tool_storage,tool_storage,Stay
23.03.06 - 1,Forklift 17,2023-03-06 08:22:31,2023-03-06 08:23:56,85.0,tool_storage,bldg_2_entry_area,Move
23.03.06 - 1,Forklift 17,2023-03-06 08:23:56,2023-03-06 08:24:27,31.0,bldg_2_entry_area,bldg_2_entry_area,Stay
23.03.06 - 1,Forklift 17,2023-03-06 08:24:27,2023-03-06 08:25:25,58.0,bldg_2_entry_area,tool_storage,Move
23.03.06 - 1,Forklift 17,2023-03-06 08:25:25,2023-03-06 08:25:36,11.0,tool_storage,tool_storage,Stay
23.03.06 - 1,Forklift 17,2023-03-06 08:25:36,2023-03-06 08:25:57,21.0,tool_storage,press_room,Move
23.03.06 - 1,Forklift 17,2023-03-06 08:25:57,2023-03-06 08:26:18,21.0,press_room,press_room,Stay
23.03.06 - 1,Forklift 17,2023-03-06 08:26:18,2023-03-06 08:26:42,24.0,press_room,tool_storage,Move
23.03.06 - 1,Forklift 17,2023-03-06 08:26:42,2023-03-06 08:27:17,35.0,tool_storage,tool_storage,Stay
23.03.06 - 1,Forklift 17,2023-03-06 08:27:17,2023-03-06 08:27:35,18.0,tool_storage,press_room,Move
23.03.06 - 1,Forklift 17,2023-03-06 08:27:35,2023-03-06 08:27:53,18.0,press_room,press_room,Stay
23.03.06 - 1,Forklift 17,2023-03-06 08:27:53,2023-03-06 08:28:05,12.0,press_room,tool_storage,Move
23.03.06 - 1,Forklift 17,2023-03-06 08:28:05,2023-03-06 09:08:43,2438.0,tool_storage,tool_storage,Stay
23.03.06 - 1,Forklift 17,2023-03-06 09:08:43,2023-03-06 09:09:07,24.0,tool_storage,press_room,Move
23.03.06 - 1,Forklift 17,2023-03-06 09:09:07,2023-03-06 09:09:32,25.0,press_room,press_room,Stay
23.03.06 - 1,Forklift 17,2023-03-06 09:09:32,2023-03-06 09:09:47,15.0,press_room,tool_storage,Move
23.03.06 - 1,Forklift 17,2023-03-06 09:09:47,2023-03-06 09:10:09,22.0,tool_storage,tool_storage,Stay
23.03.06 - 1,Forklift 17,2023-03-06 09:10:09,2023-03-06 09:10:34,25.0,tool_storage,press_room,Move
23.03.06 - 1,Forklift 17,2023-03-06 09:10:34,2023-03-06 09:11:28,54.0,press_room,press_room,Stay
23.03.06 - 1,Forklift 17,2023-03-06 09:11:28,2023-03-06 09:11:52,24.0,press_room,tool_storage,Move
23.03.06 - 1,Forklift 17,2023-03-06 09:11:52,2023-03-06 13:08:05,14173.0,tool_storage,tool_storage,Stay
23.03.06 - 1,Forklift 17,2023-03-06 13:08:05,2023-03-06 13:09:03,58.0,tool_storage,bldg_2_entry_area,Move
23.03.06 - 1,Forklift 17,2023-03-06 13:09:03,2023-03-06 13:10:31,88.0,bldg_2_entry_area,bldg_2_entry_area,Stay
23.03.06 - 1,Forklift 17,2023-03-06 13:10:31,2023-03-06 13:11:08,37.0,bldg_2_entry_area,tool_storage,Move
23.03.06 - 1,Forklift 17,2023-03-06 13:11:08,2023-03-06 13:11:34,26.0,tool_storage,tool_storage,Stay
23.03.06 - 1,Forklift 17,2023-03-06 13:11:34,2023-03-06 13:12:22,48.0,tool_storage,bldg_2_entry_area,Move
23.03.06 - 1,Forklift 17,2023-03-06 13:12:22,2023-03-06 13:12:37,15.0,bldg_2_entry_area,bldg_2_entry_area,Stay
23.03.06 - 1,Forklift 17,2023-03-06 13:12:37,2023-03-06 13:13:23,46.0,bldg_2_entry_area,tool_storage,Move
23.03.06 - 1,Forklift 17,2023-03-06 13:13:23,2023-03-06 13:13:46,23.0,tool_storage,tool_storage,Stay
23.03.06 - 1,Forklift 17,2023-03-06 13:13:46,2023-03-06 13:14:00,14.0,tool_storage,press_room,Move
23.03.06 - 1,Forklift 17,2023-03-06 13:14:00,2023-03-06 13:14:11,11.0,press_room,press_room,Stay
23.03.06 - 1,Forklift 17,2023-03-06 13:14:11,2023-03-06 13:14:31,20.0,press_room,tool_storage,Move
23.03.06 - 1,Forklift 17,2023-03-06 13:14:31,2023-03-06 13:15:09,38.0,tool_storage,tool_storage,Stay
23.03.06 - 1,Forklift 17,2023-03-06 13:15:09,2023-03-06 13:15:20,11.0,tool_storage,press_room,Move
23.03.06 - 1,Forklift 17,2023-03-06 13:15:20,2023-03-06 13:15:42,22.0,press_room,press_room,Stay
23.03.06 - 1,Forklift 17,2023-03-06 13:15:42,2023-03-06 13:16:04,22.0,press_room,tool_storage,Move
23.03.06 - 1,Forklift 17,2023-03-06 13:16:04,2023-03-06 13:16:20,16.0,tool_storage,tool_storage,Stay
23.03.06 - 1,Forklift 17,2023-03-06 13:16:20,2023-03-06 13:16:48,28.0,tool_storage,press_room,Move
23.03.06 - 1,Forklift 17,2023-03-06 13:16:48,2023-03-06 13:18:52,124.0,press_room,press_room,Stay
23.03.06 - 1,Forklift 17,2023-03-06 13:18:52,2023-03-06 13:19:29,37.0,press_room,tool_storage,Move
23.03.06 - 1,Forklift 17,2023-03-06 13:19:29,2023-03-06 15:00:00,6031.0,tool_storage,tool_storage,Stay
