Date,Shift,Name,Far,Local,Stay,Bad,Absent
2023-02-13,1,Forklift 01,0.039479,0.001875,0.958542,0.000000,0.000104
2023-02-13,1,Pallet truck 02,0.115312,0.043333,0.834028,0.004931,0.002396
2023-02-13,1,Pallet truck 03,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-13,1,Cart 04,0.070799,0.099410,0.826354,0.003333,0.000104
2023-02-13,1,Cart 05,0.011250,0.031667,0.939861,0.017118,0.000104
2023-02-13,1,Forklift 06,0.000000,0.000208,0.999687,0.000000,0.000104
2023-02-13,1,Pallet truck 07,0.000000,0.002188,0.997708,0.000000,0.000104
2023-02-13,1,Pallet truck 08,0.031944,0.007222,0.956771,0.000000,0.004063
2023-02-13,1,Cart 09,0.024132,0.001563,0.973889,0.000000,0.000417
2023-02-13,1,Cart 10,0.029340,0.005799,0.964757,0.000000,0.000104
2023-02-13,1,Pallet truck 11,0.000000,0.002014,0.997882,0.000000,0.000104
2023-02-13,1,Cart 12,0.000000,0.003056,0.988681,0.000000,0.008264
2023-02-13,1,Cart 13,0.000000,0.000243,0.998993,0.000000,0.000764
2023-02-13,1,Pallet truck 14,0.005417,0.005417,0.927951,0.000000,0.061215
2023-02-13,1,Cart 16,0.005347,0.011042,0.983507,0.000000,0.000104
2023-02-13,1,Forklift 17,0.029861,0.006354,0.963681,0.000000,0.000104
2023-02-13,2,Forklift 01,0.025521,0.001181,0.431701,0.000000,0.541597
2023-02-13,2,Pallet truck 02,0.012951,0.030347,0.953056,0.003542,0.000104
2023-02-13,2,Pallet truck 03,0.000000,0.000000,0.999653,0.000243,0.000104
2023-02-13,2,Cart 04,0.041701,0.015278,0.941076,0.001840,0.000104
2023-02-13,2,Cart 05,0.033160,0.004028,0.960069,0.002639,0.000104
2023-02-13,2,Forklift 06,0.000000,0.000000,0.984722,0.000000,0.015278
2023-02-13,2,Pallet truck 07,0.000000,0.002188,0.997708,0.000000,0.000104
2023-02-13,2,Pallet truck 08,0.019931,0.012847,0.967118,0.000000,0.000104
2023-02-13,2,Cart 09,0.000000,0.003542,0.727500,0.000000,0.268958
2023-02-13,2,Cart 10,0.000000,0.000000,0.727292,0.000000,0.272708
2023-02-13,2,Pallet truck 11,0.000000,0.000000,0.989583,0.000000,0.010417
2023-02-13,2,Cart 12,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-13,2,Cart 13,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-13,2,Pallet truck 14,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-13,2,Cart 16,0.000000,0.000000,0.551458,0.000000,0.448542
2023-02-13,2,Forklift 17,0.035208,0.010347,0.811007,0.000451,0.142986
2023-02-13,3,Forklift 01,0.000000,0.000000,0.654479,0.000000,0.345521
2023-02-13,3,Pallet truck 02,0.015451,0.061354,0.921424,0.001667,0.000104
2023-02-13,3,Pallet truck 03,0.000000,0.000208,0.999687,0.000000,0.000104
2023-02-13,3,Cart 04,0.029757,0.174583,0.794271,0.001285,0.000104
2023-02-13,3,Cart 05,0.000000,0.006597,0.991146,0.002153,0.000104
2023-02-13,3,Pallet truck 07,0.000000,0.000000,0.106111,0.000000,0.893889
2023-02-13,3,Pallet truck 08,0.000000,0.008750,0.021250,0.000000,0.970000
2023-02-13,3,Cart 12,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-13,3,Cart 13,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-13,3,Pallet truck 14,0.000000,0.002500,0.997396,0.000000,0.000104
2023-02-14,1,Forklift 01,0.022812,0.008854,0.319306,0.000000,0.649028
2023-02-14,1,Pallet truck 02,0.161528,0.062708,0.744375,0.014063,0.017326
2023-02-14,1,Pallet truck 03,0.005174,0.007569,0.739514,0.000000,0.247743
2023-02-14,1,Cart 04,0.129062,0.064028,0.667951,0.002986,0.135972
2023-02-14,1,Cart 05,0.030694,0.020035,0.894687,0.002986,0.051597
2023-02-14,1,Forklift 06,0.015694,0.026319,0.448368,0.000000,0.509618
2023-02-14,1,Pallet truck 07,0.018437,0.001076,0.278368,0.000000,0.702118
2023-02-14,1,Pallet truck 08,0.000000,0.007049,0.322569,0.000000,0.670382
2023-02-14,1,Cart 09,0.003125,0.000000,0.312778,0.000382,0.683715
2023-02-14,1,Cart 10,0.000382,0.002951,0.269722,0.000000,0.726944
2023-02-14,1,Pallet truck 11,0.000000,0.000000,0.311007,0.000000,0.688993
2023-02-14,1,Cart 12,0.005660,0.015625,0.818924,0.000000,0.159792
2023-02-14,1,Cart 13,0.000000,0.010590,0.805764,0.000000,0.183646
2023-02-14,1,Pallet truck 14,0.000000,0.005764,0.704132,0.087500,0.202604
2023-02-14,1,Cart 15,0.002708,0.002847,0.318958,0.000000,0.675486
2023-02-14,1,Cart 16,0.012153,0.007500,0.292153,0.000000,0.688194
2023-02-14,1,Forklift 17,0.056528,0.032326,0.565278,0.002465,0.343403
2023-02-14,2,Forklift 01,0.030174,0.011910,0.957812,0.000000,0.000104
2023-02-14,2,Pallet truck 02,0.018333,0.072465,0.905035,0.004063,0.000104
2023-02-14,2,Pallet truck 03,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,2,Cart 04,0.000000,0.031354,0.080590,0.000000,0.888056
2023-02-14,2,Cart 05,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,2,Forklift 06,0.013611,0.000972,0.985313,0.000000,0.000104
2023-02-14,2,Pallet truck 07,0.000000,0.003889,0.996007,0.000000,0.000104
2023-02-14,2,Pallet truck 08,0.000000,0.000000,0.784028,0.000000,0.215972
2023-02-14,2,Cart 09,0.025590,0.000000,0.974306,0.000000,0.000104
2023-02-14,2,Cart 10,0.000000,0.008958,0.765312,0.000000,0.225729
2023-02-14,2,Pallet truck 11,0.000000,0.005833,0.994062,0.000000,0.000104
2023-02-14,2,Cart 12,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,2,Cart 13,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,2,Cart 15,0.000000,0.000000,0.137118,0.000000,0.862882
2023-02-14,2,Cart 16,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,2,Forklift 17,0.000000,0.017326,0.979618,0.002951,0.000104
2023-02-14,3,Forklift 01,0.000000,0.001250,0.998646,0.000000,0.000104
2023-02-14,3,Pallet truck 02,0.022014,0.010347,0.620590,0.002917,0.344132
2023-02-14,3,Pallet truck 03,0.014653,0.000521,0.984722,0.000000,0.000104
2023-02-14,3,Cart 05,0.000000,0.000278,0.999618,0.000000,0.000104
2023-02-14,3,Forklift 06,0.000000,0.000000,0.468854,0.000000,0.531146
2023-02-14,3,Pallet truck 07,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,3,Cart 09,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,3,Pallet truck 11,0.000000,0.031389,0.927292,0.000000,0.041319
2023-02-14,3,Cart 12,0.000000,0.000000,0.752847,0.000000,0.247153
2023-02-14,3,Cart 13,0.000000,0.000000,0.780521,0.000000,0.219479
2023-02-14,3,Cart 16,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,3,Forklift 17,0.021111,0.022917,0.951597,0.004271,0.000104
2023-02-15,1,Forklift 01,0.025868,0.010139,0.959896,0.000000,0.004097
2023-02-15,1,Pallet truck 03,0.000000,0.024306,0.975590,0.000000,0.000104
2023-02-15,1,Cart 05,0.008403,0.000000,0.991493,0.000000,0.000104
2023-02-15,1,Pallet truck 07,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-15,1,Cart 09,0.014410,0.015069,0.965625,0.000000,0.004896
2023-02-15,1,Cart 16,0.028368,0.004861,0.966667,0.000000,0.000104
2023-02-15,1,Forklift 17,0.076389,0.042118,0.875903,0.005486,0.000104
2023-02-15,2,Forklift 01,0.000000,0.005243,0.607812,0.000000,0.386944
2023-02-15,2,Pallet truck 02,0.000000,0.104340,0.469306,0.002847,0.423507
2023-02-15,2,Pallet truck 03,0.000000,0.000208,0.999271,0.000000,0.000521
2023-02-15,2,Cart 04,0.038542,0.066562,0.459896,0.000972,0.434028
2023-02-15,2,Cart 05,0.000000,0.000000,0.961042,0.000000,0.038958
2023-02-15,2,Forklift 06,0.000000,0.000000,0.649062,0.000000,0.350938
2023-02-15,2,Pallet truck 07,0.000000,0.000000,0.999549,0.000000,0.000451
2023-02-15,2,Pallet truck 08,0.000000,0.000000,0.664618,0.000000,0.335382
2023-02-15,2,Cart 09,0.052604,0.003715,0.943576,0.000000,0.000104
2023-02-15,2,Cart 10,0.000000,0.000000,0.688056,0.000000,0.311944
2023-02-15,2,Pallet truck 11,0.000000,0.000000,0.048993,0.000313,0.950694
2023-02-15,2,Cart 12,0.000000,0.013715,0.101528,0.000000,0.884757
2023-02-15,2,Cart 13,0.000000,0.001215,0.083437,0.500000,0.415347
2023-02-15,2,Pallet truck 14,0.000000,0.001771,0.584688,0.000000,0.413542
2023-02-15,2,Cart 15,0.000000,0.000000,0.409028,0.000000,0.590972
2023-02-15,2,Cart 16,0.000000,0.006875,0.992708,0.000000,0.000417
2023-02-15,2,Forklift 17,0.001215,0.011042,0.448264,0.002743,0.536736
2023-02-15,3,Forklift 01,0.000000,0.000000,0.570174,0.000000,0.429826
2023-02-15,3,Pallet truck 02,0.056597,0.077882,0.851875,0.013542,0.000104
2023-02-15,3,Pallet truck 03,0.000000,0.000313,0.998958,0.000000,0.000729
2023-02-15,3,Cart 04,0.026840,0.102396,0.869410,0.001250,0.000104
2023-02-15,3,Cart 05,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-15,3,Forklift 06,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-15,3,Pallet truck 07,0.031250,0.054549,0.913021,0.001076,0.000104
2023-02-15,3,Pallet truck 08,0.000000,0.002222,0.997674,0.000000,0.000104
2023-02-15,3,Cart 09,0.000000,0.002917,0.938472,0.000000,0.058611
2023-02-15,3,Cart 10,0.020521,0.006840,0.967431,0.000000,0.005208
2023-02-15,3,Pallet truck 11,0.000000,0.003507,0.067014,0.000000,0.929479
2023-02-15,3,Cart 12,0.004028,0.007812,0.231771,0.000000,0.756389
2023-02-15,3,Cart 13,0.000000,0.001076,0.078993,0.000000,0.919931
2023-02-15,3,Pallet truck 14,0.000000,0.007847,0.992049,0.000000,0.000104
2023-02-15,3,Cart 15,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-15,3,Cart 16,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-15,3,Forklift 17,0.000000,0.002153,0.027882,0.000972,0.968993
2023-02-16,1,Forklift 01,0.026424,0.009306,0.892604,0.000000,0.071667
2023-02-16,1,Pallet truck 02,0.037812,0.053090,0.902014,0.005000,0.002083
2023-02-16,1,Pallet truck 03,0.000000,0.002326,0.997569,0.000000,0.000104
2023-02-16,1,Cart 04,0.118264,0.061215,0.732847,0.005104,0.082569
2023-02-16,1,Cart 05,0.014306,0.002396,0.983194,0.000000,0.000104
2023-02-16,1,Forklift 06,0.000000,0.000764,0.811840,0.000000,0.187396
2023-02-16,1,Pallet truck 07,0.000000,0.000868,0.999028,0.000000,0.000104
2023-02-16,1,Pallet truck 08,0.013090,0.005625,0.912882,0.000000,0.068403
2023-02-16,1,Cart 09,0.017153,0.007014,0.677465,0.000000,0.298368
2023-02-16,1,Cart 10,0.000000,0.008472,0.987778,0.000000,0.003750
2023-02-16,1,Pallet truck 11,0.016493,0.032083,0.946632,0.000000,0.004792
2023-02-16,1,Cart 12,0.019132,0.010972,0.967118,0.000000,0.002778
2023-02-16,1,Cart 13,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-16,1,Pallet truck 14,0.000000,0.064375,0.935521,0.000000,0.000104
2023-02-16,1,Cart 15,0.031076,0.018715,0.950104,0.000000,0.000104
2023-02-16,1,Cart 16,0.021701,0.000000,0.978194,0.000000,0.000104
2023-02-16,1,Forklift 17,0.075347,0.026354,0.892257,0.005938,0.000104
2023-02-16,2,Forklift 01,0.011667,0.010625,0.975174,0.000000,0.002535
2023-02-16,2,Pallet truck 02,0.026007,0.049410,0.921319,0.000000,0.003264
2023-02-16,2,Pallet truck 03,0.007153,0.004306,0.984583,0.000000,0.003958
2023-02-16,2,Cart 04,0.019097,0.016875,0.963437,0.000486,0.000104
2023-02-16,2,Cart 05,0.010972,0.008160,0.977535,0.000000,0.003333
2023-02-16,2,Forklift 06,0.001007,0.004097,0.840694,0.000000,0.154201
2023-02-16,2,Pallet truck 07,0.001840,0.014583,0.976562,0.000000,0.007014
2023-02-16,2,Pallet truck 08,0.000000,0.000000,0.780278,0.000000,0.219722
2023-02-16,2,Cart 09,0.050000,0.000000,0.539653,0.062500,0.347847
2023-02-16,2,Cart 10,0.003229,0.007257,0.863403,0.062500,0.063611
2023-02-16,2,Pallet truck 11,0.000000,0.006944,0.834306,0.000000,0.158750
2023-02-16,2,Cart 12,0.000000,0.004757,0.875625,0.000000,0.119618
2023-02-16,2,Cart 13,0.000000,0.014271,0.984896,0.000000,0.000833
2023-02-16,2,Pallet truck 14,0.042222,0.033160,0.833264,0.000000,0.091354
2023-02-16,2,Cart 15,0.031042,0.025937,0.940486,0.000000,0.002535
2023-02-16,2,Cart 16,0.000000,0.000000,0.668021,0.000000,0.331979
2023-02-16,2,Forklift 17,0.005972,0.031424,0.957153,0.002396,0.003056
2023-02-16,3,Forklift 01,0.002812,0.013611,0.639201,0.000000,0.344375
2023-02-16,3,Pallet truck 02,0.019201,0.012743,0.656493,0.001007,0.310556
2023-02-16,3,Pallet truck 03,0.014271,0.005139,0.767847,0.000000,0.212743
2023-02-16,3,Cart 04,0.016319,0.000000,0.195521,0.697986,0.090174
2023-02-16,3,Cart 05,0.002292,0.001076,0.522292,0.000000,0.474340
2023-02-16,3,Forklift 06,0.000000,0.000556,0.999340,0.000000,0.000104
2023-02-16,3,Pallet truck 07,0.000000,0.000000,0.148090,0.718750,0.133160
2023-02-16,3,Pallet truck 08,0.000000,0.031875,0.889340,0.000000,0.078785
2023-02-16,3,Pallet truck 11,0.000000,0.003194,0.996701,0.000000,0.000104
2023-02-16,3,Cart 12,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-16,3,Cart 13,0.000000,0.000000,0.776667,0.000000,0.223333
2023-02-16,3,Pallet truck 14,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-16,3,Cart 15,0.000000,0.000000,0.625174,0.000000,0.374826
2023-02-16,3,Cart 16,0.000000,0.000000,0.978924,0.000000,0.021076
2023-02-16,3,Forklift 17,0.024549,0.076736,0.853056,0.038507,0.007153
2023-02-17,1,Forklift 01,0.000000,0.001250,0.942292,0.000000,0.056458
2023-02-17,1,Pallet truck 02,0.090278,0.075174,0.762188,0.001979,0.070382
2023-02-17,1,Pallet truck 03,0.000000,0.015104,0.941458,0.000313,0.043125
2023-02-17,1,Forklift 06,0.000000,0.000000,0.970868,0.000000,0.029132
2023-02-17,1,Pallet truck 08,0.000000,0.003333,0.994549,0.000000,0.002118
2023-02-17,1,Pallet truck 11,0.000000,0.000000,0.835104,0.000000,0.164896
2023-02-17,1,Cart 12,0.020000,0.001076,0.978819,0.000000,0.000104
2023-02-17,1,Pallet truck 14,0.040938,0.013160,0.929583,0.000000,0.016319
2023-02-17,1,Cart 16,0.007396,0.000000,0.992500,0.000000,0.000104
2023-02-17,1,Forklift 17,0.124410,0.051528,0.790521,0.033438,0.000104
2023-02-17,2,Forklift 01,0.035764,0.004479,0.958715,0.000937,0.000104
2023-02-17,2,Pallet truck 02,0.009340,0.015938,0.973715,0.000903,0.000104
2023-02-17,2,Pallet truck 03,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-17,2,Cart 04,0.000000,0.001007,0.483750,0.166667,0.348576
2023-02-17,2,Forklift 06,0.000000,0.000000,0.835451,0.000000,0.164549
2023-02-17,2,Pallet truck 07,0.000000,0.000000,0.476910,0.239583,0.283507
2023-02-17,2,Pallet truck 08,0.000000,0.000625,0.999271,0.000000,0.000104
2023-02-17,2,Cart 09,0.026632,0.000000,0.798542,0.000000,0.174826
2023-02-17,2,Pallet truck 11,0.000000,0.003299,0.906354,0.000000,0.090347
2023-02-17,2,Cart 12,0.000000,0.002361,0.997535,0.000000,0.000104
2023-02-17,2,Cart 13,0.000000,0.000000,0.200208,0.697917,0.101875
2023-02-17,2,Pallet truck 14,0.016493,0.002257,0.978507,0.000000,0.002743
2023-02-17,2,Cart 15,0.000000,0.000000,0.470868,0.447917,0.081215
2023-02-17,2,Cart 16,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-17,2,Forklift 17,0.009271,0.012917,0.952500,0.025174,0.000139
2023-02-17,3,Forklift 01,0.000000,0.001424,0.998472,0.000000,0.000104
2023-02-17,3,Pallet truck 02,0.004479,0.030347,0.962222,0.002847,0.000104
2023-02-17,3,Pallet truck 03,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-17,3,Cart 04,0.000000,0.000000,0.999861,0.000000,0.000139
2023-02-17,3,Forklift 06,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-17,3,Pallet truck 07,0.000000,0.000174,0.999722,0.000000,0.000104
2023-02-17,3,Pallet truck 08,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-17,3,Cart 09,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-17,3,Pallet truck 11,0.000000,0.001354,0.998542,0.000000,0.000104
2023-02-17,3,Cart 12,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-17,3,Cart 13,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-17,3,Pallet truck 14,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-17,3,Cart 15,0.009236,0.003924,0.986736,0.000000,0.000104
2023-02-17,3,Cart 16,0.000000,0.004479,0.995417,0.000000,0.000104
2023-02-17,3,Forklift 17,0.002500,0.003646,0.453090,0.004861,0.535903
2023-02-18,1,Forklift 01,0.000000,0.000556,0.921111,0.000000,0.078333
2023-02-18,1,Pallet truck 02,0.004931,0.013889,0.979757,0.001319,0.000104
2023-02-18,1,Pallet truck 03,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-18,1,Cart 04,0.000000,0.000174,0.915694,0.000000,0.084132
2023-02-18,1,Cart 05,0.000000,0.000000,0.728576,0.000000,0.271424
2023-02-18,1,Forklift 06,0.000000,0.000556,0.894618,0.000000,0.104826
2023-02-18,1,Pallet truck 07,0.000000,0.000000,0.876215,0.000000,0.123785
2023-02-18,1,Pallet truck 08,0.000000,0.000000,0.839097,0.000000,0.160903
2023-02-18,1,Cart 09,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-18,1,Cart 10,0.000000,0.000000,0.791181,0.000000,0.208819
2023-02-18,1,Pallet truck 11,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-18,1,Cart 12,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-18,1,Cart 13,0.000000,0.017153,0.982743,0.000000,0.000104
2023-02-18,1,Pallet truck 14,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-18,1,Cart 15,0.021979,0.008889,0.969028,0.000000,0.000104
2023-02-18,1,Cart 16,0.000000,0.028785,0.971111,0.000000,0.000104
2023-02-18,1,Forklift 17,0.000000,0.001354,0.700694,0.001736,0.296215
2023-02-18,2,Forklift 01,0.000000,0.000139,0.999444,0.000000,0.000417
2023-02-18,2,Pallet truck 02,0.002396,0.008715,0.985868,0.001840,0.001181
2023-02-18,2,Pallet truck 03,0.000000,0.004132,0.995417,0.000000,0.000451
2023-02-18,2,Cart 04,0.000000,0.000000,0.999479,0.000000,0.000521
2023-02-18,2,Cart 05,0.000000,0.000104,0.999514,0.000000,0.000382
2023-02-18,2,Forklift 06,0.000000,0.000000,0.999375,0.000000,0.000625
2023-02-18,2,Pallet truck 07,0.000000,0.000000,0.999410,0.000000,0.000590
2023-02-18,2,Pallet truck 08,0.000000,0.000000,0.999306,0.000000,0.000694
2023-02-18,2,Cart 09,0.000000,0.000000,0.796042,0.000000,0.203958
2023-02-18,2,Cart 10,0.000000,0.000313,0.999340,0.000000,0.000347
2023-02-18,2,Pallet truck 11,0.000000,0.000000,0.999514,0.000000,0.000486
2023-02-18,2,Cart 12,0.000000,0.000382,0.999097,0.000000,0.000521
2023-02-18,2,Cart 13,0.000000,0.004271,0.995313,0.000000,0.000417
2023-02-18,2,Pallet truck 14,0.000000,0.000000,0.812951,0.000000,0.187049
2023-02-18,2,Cart 15,0.000000,0.000000,0.999549,0.000000,0.000451
2023-02-18,2,Cart 16,0.000000,0.044271,0.954583,0.000000,0.001146
2023-02-18,2,Forklift 17,0.002882,0.021493,0.966875,0.008646,0.000104
2023-02-18,3,Forklift 01,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-18,3,Pallet truck 02,0.000000,0.015243,0.983576,0.001076,0.000104
2023-02-18,3,Pallet truck 03,0.000000,0.004687,0.842951,0.000000,0.152361
2023-02-18,3,Cart 04,0.000000,0.000000,0.656771,0.000000,0.343229
2023-02-18,3,Cart 05,0.000000,0.002083,0.872535,0.000000,0.125382
2023-02-18,3,Forklift 06,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-18,3,Pallet truck 07,0.000000,0.000000,0.578681,0.000000,0.421319
2023-02-18,3,Pallet truck 08,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-18,3,Cart 09,0.000000,0.000000,0.999896,0.000000,0.000104
